position=16,17,26,28,36,46 N winning_move=5 frobenius=57 cumulative_states=78
position=13,16,28,36,46,66 N winning_move=25 frobenius=63 cumulative_states=7265
position=16,25,26,28,36,46 N winning_move=13 frobenius=65 cumulative_states=10172
position=16,17,26,36,44,46,56 N winning_move=23 frobenius=71 cumulative_states=23710
position=16,21,26,28,36,46,66 N winning_move=59 frobenius=71 cumulative_states=56993
position=13,16,36,46,54,56,66,76 P winning_move=none frobenius=73 cumulative_states=73420
position=13,16,36,46,56,66,70,76 N winning_move=54 frobenius=73 cumulative_states=76583
position=16,23,26,28,36,66 N winning_move=11 frobenius=73 cumulative_states=77128
position=16,21,26,36,44,46,56,66 N winning_move=33 frobenius=75 cumulative_states=110533
position=16,25,26,36,44,46,56 N winning_move=53 frobenius=79 cumulative_states=201061
position=16,26,28,29,36,46,66 N winning_move=39 frobenius=79 cumulative_states=251415
position=16,21,26,36,46,56,66,70,76 N winning_move=29 frobenius=81 cumulative_states=262610
position=16,26,28,31,36,46,66 P winning_move=none frobenius=81 cumulative_states=310185
position=13,16,36,46,56,60,66 N winning_move=70 frobenius=83 cumulative_states=310958
position=13,16,36,46,56,66,76,86 N winning_move=53 frobenius=83 cumulative_states=310991
position=16,23,26,36,54,56,66,76 N winning_move=29 frobenius=83 cumulative_states=345724
position=16,23,26,36,56,66,70,76 N winning_move=25 frobenius=83 cumulative_states=346902
position=16,26,28,33,36,46 N winning_move=53 frobenius=83 cumulative_states=380689
position=16,25,26,36,46,54,56 N winning_move=85 frobenius=85 cumulative_states=398903
position=16,26,28,35,36,46,66 P winning_move=none frobenius=85 cumulative_states=439477
position=16,26,28,36,37,46,66 N winning_move=15 frobenius=87 cumulative_states=441197
position=16,26,33,36,44,46,56 N winning_move=21 frobenius=87 cumulative_states=442107
position=16,26,28,36,39,46,66 N winning_move=29 frobenius=89 cumulative_states=449014
position=16,21,26,36,46,56,60,66 N winning_move=75 frobenius=91 cumulative_states=461800
position=16,21,26,36,46,56,66,76,86 N winning_move=35 frobenius=91 cumulative_states=461887
position=16,26,31,36,46,54,56,66,76 N winning_move=28 frobenius=91 cumulative_states=466446
position=16,26,31,36,46,56,66,70,76 N winning_move=28 frobenius=91 cumulative_states=480639
position=16,26,36,37,44,46,56,66 N winning_move=45 frobenius=91 cumulative_states=624524
position=16,23,26,36,56,60,66 N winning_move=29 frobenius=93 cumulative_states=629709
position=16,26,33,36,46,54,56,76 N winning_move=23 frobenius=93 cumulative_states=641727
