base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=1406524 eparts=1051 evaluations=23224931838
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=1406524 eparts=1051
EVALUATIONS count=23230000000 sid=470941 m=97 shapes=1406524 eparts=1051
EVALUATIONS count=23240000000 sid=1401303 m=13 shapes=1406524 eparts=1051
EVALUATIONS count=23250000000 sid=1395831 m=83 shapes=1406524 eparts=1051
EVALUATIONS count=23260000000 sid=1310978 m=69 shapes=1406524 eparts=1051
EVALUATIONS count=23270000000 sid=1340237 m=113 shapes=1406524 eparts=1051
EVALUATIONS count=23280000000 sid=560751 m=159 shapes=1406524 eparts=1051
EVALUATIONS count=23290000000 sid=571945 m=99 shapes=1406524 eparts=1051
EVALUATIONS count=23300000000 sid=197 m=173 shapes=1406524 eparts=1051
EVALUATIONS count=23310000000 sid=477631 m=181 shapes=1406524 eparts=1051
EVALUATIONS count=23320000000 sid=465613 m=139 shapes=1406524 eparts=1051
EVALUATIONS count=23330000000 sid=571945 m=125 shapes=1406524 eparts=1051
EVALUATIONS count=23340000000 sid=639500 m=101 shapes=1406524 eparts=1051
EVALUATIONS count=23350000000 sid=471589 m=107 shapes=1406524 eparts=1051
EVALUATIONS count=23360000000 sid=515611 m=217 shapes=1406524 eparts=1051
EVALUATIONS count=23370000000 sid=473472 m=219 shapes=1406524 eparts=1051
EVALUATIONS count=23380000000 sid=560403 m=125 shapes=1406524 eparts=1051
EVALUATIONS count=23390000000 sid=1401304 m=201 shapes=1406524 eparts=1051
EVALUATIONS count=23400000000 sid=664712 m=173 shapes=1406524 eparts=1051
EVALUATIONS count=23410000000 sid=548247 m=251 shapes=1406524 eparts=1051
EVALUATIONS count=23420000000 sid=893 m=259 shapes=1406524 eparts=1051
EVALUATIONS count=23430000000 sid=1352053 m=151 shapes=1406524 eparts=1051
EVALUATIONS count=23440000000 sid=510591 m=165 shapes=1406524 eparts=1051
EVALUATIONS count=23450000000 sid=306674 m=279 shapes=1406524 eparts=1051
EVALUATIONS count=23460000000 sid=304264 m=255 shapes=1406524 eparts=1051
EVALUATIONS count=23470000000 sid=575736 m=293 shapes=1406524 eparts=1051
EVALUATIONS count=23480000000 sid=511217 m=293 shapes=1406524 eparts=1051
EVALUATIONS count=23490000000 sid=475434 m=195 shapes=1406524 eparts=1051
EVALUATIONS count=23500000000 sid=560403 m=263 shapes=1406524 eparts=1051
EVALUATIONS count=23510000000 sid=560403 m=283 shapes=1406524 eparts=1051
EVALUATIONS count=23520000000 sid=506593 m=329 shapes=1406524 eparts=1051
EVALUATIONS count=23530000000 sid=470999 m=243 shapes=1406524 eparts=1051
EVALUATIONS count=23540000000 sid=1340236 m=277 shapes=1406524 eparts=1051
EVALUATIONS count=23550000000 sid=1352621 m=351 shapes=1406524 eparts=1051
EVALUATIONS count=23560000000 sid=468088 m=255 shapes=1406524 eparts=1051
EVALUATIONS count=23570000000 sid=544817 m=365 shapes=1406524 eparts=1051
EVALUATIONS count=23580000000 sid=660488 m=309 shapes=1406524 eparts=1051
EVALUATIONS count=23590000000 sid=471610 m=361 shapes=1406524 eparts=1051
EVALUATIONS count=23600000000 sid=304017 m=387 shapes=1406524 eparts=1051
EVALUATIONS count=23610000000 sid=1405299 m=393 shapes=1406524 eparts=1051
EVALUATIONS count=23620000000 sid=302945 m=399 shapes=1406524 eparts=1051
EVALUATIONS count=23630000000 sid=1403888 m=401 shapes=1406524 eparts=1051
EVALUATIONS count=23640000000 sid=304232 m=165 shapes=1408486 eparts=1052
EVALUATIONS count=23650000000 sid=309622 m=213 shapes=1408486 eparts=1052
EVALUATIONS count=23660000000 sid=664625 m=215 shapes=1408486 eparts=1052
