base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=220574 eparts=447 evaluations=22641268
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=220574 eparts=447
EVALUATIONS count=30000000 sid=220984 m=127 shapes=221797 eparts=447
EVALUATIONS count=40000000 sid=221027 m=127 shapes=221892 eparts=447
EVALUATIONS count=50000000 sid=220314 m=107 shapes=221935 eparts=447
EVALUATIONS count=60000000 sid=11995 m=43 shapes=221966 eparts=447
EVALUATIONS count=70000000 sid=219983 m=121 shapes=221981 eparts=447
EVALUATIONS count=80000000 sid=219137 m=95 shapes=221995 eparts=447
EVALUATIONS count=90000000 sid=219118 m=5 shapes=221995 eparts=447
EVALUATIONS count=100000000 sid=12033 m=89 shapes=221995 eparts=447
EVALUATIONS count=110000000 sid=91903 m=127 shapes=221995 eparts=447
EVALUATIONS count=120000000 sid=67351 m=127 shapes=222002 eparts=447
EVALUATIONS count=130000000 sid=219177 m=89 shapes=222010 eparts=447
EVALUATIONS count=140000000 sid=220985 m=127 shapes=222010 eparts=447
EVALUATIONS count=150000000 sid=220985 m=127 shapes=222011 eparts=447
EVALUATIONS count=160000000 sid=221205 m=117 shapes=222011 eparts=447
EVALUATIONS count=170000000 sid=191829 m=129 shapes=222333 eparts=447
EVALUATIONS count=180000000 sid=204 m=129 shapes=222471 eparts=447
EVALUATIONS count=190000000 sid=174491 m=129 shapes=222500 eparts=447
EVALUATIONS count=200000000 sid=219472 m=113 shapes=222502 eparts=447
EVALUATIONS count=210000000 sid=204 m=129 shapes=222518 eparts=447
EVALUATIONS count=220000000 sid=173349 m=127 shapes=222518 eparts=447
EVALUATIONS count=230000000 sid=219400 m=117 shapes=222518 eparts=447
EVALUATIONS count=240000000 sid=219380 m=111 shapes=222521 eparts=447
EVALUATIONS count=250000000 sid=219472 m=109 shapes=222521 eparts=447
EVALUATIONS count=260000000 sid=215028 m=129 shapes=222521 eparts=447
EVALUATIONS count=270000000 sid=219472 m=113 shapes=222522 eparts=447
EVALUATIONS count=280000000 sid=220977 m=113 shapes=222522 eparts=447
EVALUATIONS count=290000000 sid=222120 m=121 shapes=222523 eparts=447
EVALUATIONS count=300000000 sid=220764 m=115 shapes=222523 eparts=447
EVALUATIONS count=310000000 sid=222018 m=107 shapes=222523 eparts=447
EVALUATIONS count=320000000 sid=222018 m=107 shapes=222523 eparts=447
EVALUATIONS count=330000000 sid=195385 m=133 shapes=222526 eparts=447
EVALUATIONS count=340000000 sid=150400 m=121 shapes=222526 eparts=447
EVALUATIONS count=350000000 sid=219985 m=129 shapes=222526 eparts=447
EVALUATIONS count=360000000 sid=220764 m=115 shapes=222526 eparts=447
EVALUATIONS count=370000000 sid=93288 m=129 shapes=222526 eparts=447
EVALUATIONS count=380000000 sid=219976 m=129 shapes=222526 eparts=447
EVALUATIONS count=390000000 sid=220938 m=127 shapes=222528 eparts=447
EVALUATIONS count=400000000 sid=90855 m=129 shapes=222657 eparts=447
EVALUATIONS count=410000000 sid=90855 m=129 shapes=222678 eparts=447
EVALUATIONS count=420000000 sid=220236 m=111 shapes=222707 eparts=447
EVALUATIONS count=430000000 sid=221000 m=127 shapes=222793 eparts=447
EVALUATIONS count=440000000 sid=220977 m=113 shapes=222793 eparts=447
EVALUATIONS count=450000000 sid=219558 m=109 shapes=222793 eparts=447
EVALUATIONS count=460000000 sid=11995 m=29 shapes=222802 eparts=447
EVALUATIONS count=470000000 sid=11996 m=81 shapes=222810 eparts=447
EVALUATIONS count=480000000 sid=24418 m=127 shapes=222813 eparts=447
EVALUATIONS count=490000000 sid=24368 m=127 shapes=222816 eparts=447
EVALUATIONS count=500000000 sid=219470 m=103 shapes=222821 eparts=447
EVALUATIONS count=510000000 sid=222070 m=113 shapes=222821 eparts=447
EVALUATIONS count=520000000 sid=219977 m=103 shapes=222821 eparts=447
EVALUATIONS count=530000000 sid=220903 m=121 shapes=222826 eparts=447
EVALUATIONS count=540000000 sid=219217 m=107 shapes=222830 eparts=447
EVALUATIONS count=550000000 sid=185258 m=131 shapes=222830 eparts=447
EVALUATIONS count=560000000 sid=11995 m=29 shapes=222835 eparts=447
EVALUATIONS count=570000000 sid=191139 m=127 shapes=222835 eparts=447
EVALUATIONS count=580000000 sid=19047 m=127 shapes=222835 eparts=447
EVALUATIONS count=590000000 sid=220912 m=121 shapes=222835 eparts=447
EVALUATIONS count=600000000 sid=220901 m=115 shapes=222835 eparts=447
EVALUATIONS count=610000000 sid=185258 m=131 shapes=222842 eparts=447
EVALUATIONS count=620000000 sid=197 m=121 shapes=222847 eparts=447
EVALUATIONS count=630000000 sid=222070 m=113 shapes=222854 eparts=447
EVALUATIONS count=640000000 sid=222022 m=129 shapes=222854 eparts=447
EVALUATIONS count=650000000 sid=220767 m=111 shapes=222854 eparts=447
EVALUATIONS count=660000000 sid=93557 m=127 shapes=222854 eparts=447
EVALUATIONS count=670000000 sid=214837 m=127 shapes=222854 eparts=447
EVALUATIONS count=680000000 sid=166378 m=127 shapes=222854 eparts=447
EVALUATIONS count=690000000 sid=219205 m=101 shapes=222854 eparts=447
EVALUATIONS count=700000000 sid=214096 m=133 shapes=222859 eparts=447
EVALUATIONS count=710000000 sid=222019 m=119 shapes=222859 eparts=447
EVALUATIONS count=720000000 sid=219470 m=103 shapes=222860 eparts=447
EVALUATIONS count=730000000 sid=11995 m=71 shapes=222860 eparts=447
EVALUATIONS count=740000000 sid=197 m=121 shapes=222860 eparts=447
EVALUATIONS count=750000000 sid=162706 m=127 shapes=222860 eparts=447
EVALUATIONS count=760000000 sid=219201 m=95 shapes=222860 eparts=447
EVALUATIONS count=770000000 sid=220980 m=127 shapes=222860 eparts=447
EVALUATIONS count=780000000 sid=219118 m=3 shapes=222860 eparts=447
EVALUATIONS count=790000000 sid=220972 m=119 shapes=222860 eparts=447
EVALUATIONS count=800000000 sid=219470 m=103 shapes=222860 eparts=447
EVALUATIONS count=810000000 sid=220981 m=115 shapes=222860 eparts=447
EVALUATIONS count=820000000 sid=12312 m=101 shapes=222867 eparts=447
EVALUATIONS count=830000000 sid=220897 m=105 shapes=222867 eparts=447
EVALUATIONS count=840000000 sid=94095 m=127 shapes=222867 eparts=447
EVALUATIONS count=850000000 sid=219203 m=105 shapes=222867 eparts=447
EVALUATIONS count=860000000 sid=219743 m=115 shapes=222867 eparts=447
EVALUATIONS count=870000000 sid=181316 m=127 shapes=222867 eparts=447
EVALUATIONS count=880000000 sid=220959 m=127 shapes=222867 eparts=447
EVALUATIONS count=890000000 sid=219472 m=113 shapes=222867 eparts=447
